,friend,line
172,Ross, Chandler!
173,Rachel," Chandler, what did she say?"
174,Phoebe, Wait a minute.
175,Joey, Come here.
176,Monica, Are you sure?
177,Chandler," Well, I may be drunk, but I know what she said! Then I went over to Beefsteak
Julie’s…"
178,Rachel, Beefsteak Charlie’s?
179,Chandler," Yes! See you and I have always been like—(motions that they think
the same.)"
181,Rachel," Whoops. (Starts to go into Chandler and Joey’s.) Oh, hey, do you
need help with that?"
182,Monica," Nah, I got it."
183,Rachel," Ooh, I just feel bad, I never vacuum. (She goes into Chandler and
Joey’s.)"
185,Rachel, Hi!
187,Rachel," So I was with Joshua for an hour today, and he has not asked me out.
It’s just so frustrating!"
188,Phoebe, Why don’t you ask him out?
189,Joey," Oh, yeah, totally! That’s such a turn-on!"
190,Rachel, Really? It doesn’t seem desperate?
191,Joey," Oh-ooh, that’s the turn-on."
192,Phoebe, He just got a divorce right? 
193,Rachel, Hmm-mmm.
194,Phoebe," So he’s probably really nervous around women, y'know? Maybe, you
just have to make the first move."
195,Rachel," Yeah but, I’ve never asked a guy out before."
196,Phoebe, (shocked) You’ve never asked a guy out?!!
197,Rachel, No. Have you?
198,Phoebe, Thousands of times!! That doesn’t make me sound too good does it?
199,Rachel, I don’t even know how I would go about it.
200,Joey," Oh-oh-oh-oh, how I do it is, I look a woman up and down and say,
""Hey, how you doin’?"""
201,Phoebe," Oh, please!"
202,Joey," (to Phoebe) Hey, how you doin’?"
204,Rachel," You know what, I’m gonna do that, I’m gonna call him up, and
I’m gonna ask him out. I can do that. Ask him out. (Practising) How you doin’?
(Calls him) Hi! Joshua? It’s Rachel Green from Bloomingdale’s.
(Listens) Yeah, umm, I was wondering if you umm, if you umm, left your wallet at the store
today? Well, we found a wallet, and we—(Listens) the license? Well, that is a
good idea! Uh, well, let’s see here this says this license belongs to a uh, uh,
belongs to a mister uh, Pheebs, and umm, yeah, so sorry to bother you at home. I’ll
see you tomorrow. Bye. (Hangs up) (to Phoebe) You’ve done that a thousand times?"
205,Phoebe, I’ve never done that.
206,Rachel," Ohh, God, I just got so nervous that he would say no."
207,Joey," Well, you gotta give him something that he can’t say no too. Like uh,
Knicks tickets! Invite the guy to a Knicks game, you’re guaranteed he’ll say
yes!"
208,Rachel, Really?! You think that will work?
209,Joey," Absolutely! And if it doesn’t, can I get the extra ticket?"
211,Joey, What the heck is that?
214,Chandler, Did she call?
215,Phoebe," No, sorry."
216,Chandler," All right, maybe I should call her."
217,Joey," No! Forget her, man! You don’t need her, you don’t need that!"
218,Ross," He’s right, what she did was unforgivable."
219,Chandler," Well, yeah, but y'know, what-what if I was wrong?"
220,Ross, How might you be wrong?
221,Chandler," Well y'know, what if she didn’t actually sleep with the guy?"
222,Joey," Dude, tell me she actually told you this."
223,Chandler," She did not have to tell me, I saw the play, and there was no heat.
Back me up here, Ross!"
224,Ross, That’s all you’re basing this on?
225,Chandler," That’s not backing me up! Look, you said with the off-stage and
the heat, and the onstage and the oy heat."
226,Joey," Whoa-whoa, that-that was just a theory! There’s a lot of theories
that didn’t pan out. The lone gunman. Communism. Geometry."
227,Chandler, Oh my God!!
229,Rachel," Would you like to go to a basketball game with me? (Tries again.) You
know, its funny, basketball, because I happen to have tickets too… (Tries again.)
Umm, who likes the Knicks—(Joshua comes in from the dressing room.)"
231,Rachel," Oh! Well, as a single woman, who is available, I think you look great!"
233,Rachel," Yep. Oh, yeah, look you great. (She puts her arm in his and checks how
they would look as a couple.) Oh yeah. Yeah, this looks great. (Pause) Umm, so you like
it?"
235,Rachel, Great.
237,Rachel, Sure.
239,Rachel, Yeah-eah-ha!
241,Rachel," Oh well, you don’t want to do that now?!"
243,Rachel, Okay.
245,Rachel, Basketball!
247,Rachel," I uh, I have two tickets to the Knicks game tonight if you’re
interested, just as a thank you for this week."
249,Rachel, Really?
256,Chandler," Hey. I just, I just wanted to come over to-to say that I’m sorry.
Y’know? I know I acted like the biggest idiot in the world, and I can completely
understand why you were so upset."
258,Chandler," Yeah, I know, I-I wish I had too, but y’know I-I think this is a
good thing. Y'know? ‘Cause we’ve had our first fight, and now we can move on.
Y’know, I know for me—(Notices a pair of men’s pants on the chair.)
Nick’s pants?"
260,Chandler," Yeah. Well, I think our second fight is going to be a big one!"
262,Joey," Okay, for next time, what do you say?"
263,Rachel," I have an extra ticket. An extra ticket. Not, two tickets, I have an
extra ticket."
264,Ross," So the first time you ask a guy out, he-he turns you down?"
265,Rachel," He didn’t turn me down! He’s at the game isn’t he? I got
the date, I’m just not on it!"
266,Monica," (entering) Okay, it’s ready. Come on."
267,Joey, What’s ready?
268,Monica, Just come. 
270,Ross, Oh my God!
271,Rachel, Wow! Monica!
272,Phoebe, Great!
273,Ross, This is beautiful!
275,Phoebe, Oh did you—what did you—did you work for two days straight?
276,Monica," Pretty much. (to Joey) So, what do you, what do you think of the floor?"
277,Joey," I don’t know, it looks the same."
278,Monica, You used to have carpet.
279,Joey, Oh yeah!
280,Monica," So I made snacks. Please, just hang out okay? I’m just gonna rest
my eyes just a little bit."
281,Ross," Look, Mon, do you want us to uh, come back later?"
282,Monica," Oh no-no-no, stay, stay, stay, just keep talking. I’m always the
hostess."
284,Ross, Hey!
285,Joey, How’d it go?
286,Chandler," Well, she wasn’t sleeping with him."
287,Phoebe, Oh good!
288,Chandler, She is now.
289,Ross, What are you saying?
290,Chandler," I’m saying that she… is a devil woman! Y’know I mean
you think you know someone and then they turn around and they sleep with Nick! Nick, with
his rock hard pecs, and his giant man-nipples! I hate him, I hate her! Well, I
don’t hate her, I love her. This is all my fault really."
291,Phoebe, How? How is your fault?
292,Chandler," Because, I-I should’ve called! Y’know if I had just called
her after our big, stupid fight, she never would’ve gone out with Nick, and they
would’ve ended up in bed together. I threw her at his man nipples!"
293,Rachel," Honey, this is not your fault, just because you guys had a fight, it
does not justify her sleeping with someone."
294,Ross," Well, if-if she thought they were on a break…"
299,Rachel, Really?
301,Rachel," Yes! I will! Absolutely! (She takes out his license and her license and
holds them face to face with each other. She then proceeds to act like Dark Helmut in Spaceballs,
and mimic a conversation between the two of them.) Hello, Rachel. Hi, Joshua. I left my
wallet here on purpose. Really? Yes, I just wanted to see you again. Oh, I’m glad.
Rachel, I’d like to say something to you. Yes? How you doin’?"
0,Phoebe," (holding a lure) So now, what is this now?"
1,Joey, Guggly worm.
2,Phoebe, (laughs and picks up another lure) And this?
3,Joey, Glow-pop giggly jammer.
4,Phoebe, (laughs harder) You make it so funny.
5,Monica," (not wanting to be left out, picks up something) Hey umm, what’s
this?"
6,Joey," (examining it) Ohh, a hunk of sandwich from last year. (Monica drops the
sandwich)"
7,Ross," (pretend fishing in the living room) Ohh, Geller’s got one hooked!
Ohh! Looks like a big one! Yeah, ohh! Ohh! (Swinging the rod back and forth) It’s the
classic struggle between man and—(swings the rod and knocks over a lamp.) Someone
knocked over a lamp."
8,Joey," (going over and picking up the rod) That’s all right. Hey you guys,
you know what’s going to be great about the fishing trip this year? When my dad gets
me out in the middle of the lake and gives me that, ""Joey, what are you doing with
your life?"" stuff. I can say, ""Well, I’m doing a movie with Charlton Heston
dad. What are you doing with your life?"""
11,Chandler," You don’t have to stop having fun just because I’m here.
Kathy didn’t cheat on all of you. (To Joey) Well, except you. (They hug and Chandler
goes into the bathroom with the chick and duck following him.)"
12,Monica," Hey, Joey, I don’t think that you should leave Chandler alone. I
mean it’s only been two days since he broke up with Kathy. Maybe you can go fishing
next week?"
13,Joey," Look, there’s nothing I can do for him right now, he’s still in
his sweat pants, that’s still Phase One. Y'know? I’ll be back for Phase Two, I
would never miss Phase Two."
14,Monica, What’s Phase Two?
15,Joey, Gettin’ drunk and going to a strip club. 
16,Rachel, How does going to a strip club help him better?
17,Ross, Because there are naked ladies there.
18,Joey," Which helps him get to Phase Three, picturing yourself with other women."
19,Ross, There are naked ladies there too.
20,Joey, Yeah.
21,Chandler," (opening the bathroom door and kicking out the chick and duck) Would
you give me one minute!! Please."
25,Rachel," Um-hmm. (Joshua turns to look in the mirror and leaves Rachel staring at
his ass.) There we go. There it is."
27,Rachel, Yeah!
29,Rachel," Oh, okay. Uhh, well let’s see. (Grabs his hand.) You’re
about—well uh, this one is large. And this one—(Grabs the other hand.)"
31,Rachel," Yeah! Okay, two larges coming right up!"
34,Rachel, Yes.
36,Rachel, Sure. You got it. Great! 
38,Rachel," Me, Fledermaus, great. I really—(motions to Joshua.)"
41,Rachel," So? (She puts her hands in his, totally forgetting about the gloves, and
hoping for something more intimate.)"
43,Rachel," Ohh! Right! Right, sorry, I’ll be right back!"
45,Rachel, Oh.
47,Rachel, No! Nothing!
49,Rachel, Yeah! That would be great!
51,Rachel," (shocked) Well, I-I guess—I…"
53,Rachel," Yeah, great, you betcha!"
55,Rachel, What?
57,Rachel," Oh. Oh, right."
59,Rachel, Oh yay!
61,Chandler," Y’know, I can’t believe Kathy did this too me. I really,
thought that she was the one. I tell you what, from now on I’m never getting out of
this chair, ever! Okay? From now on, this chair is the one! You wanna what else is the
one? My sweat pants!"
62,Ross," Come on, man! Just-just take the sweats off. Okay? Just take ‘em off
and we’ll have some fun."
63,Joey, (entering) Hey-hey!
64,Ross, Hi!
65,Phoebe, Hey!
66,Ross," Catch any big fish? (Phoebe, Ross, and Monica all go over to him.)"
67,Joey," Oh my God, you guys have no idea. "
69,Monica, You stink!
70,Ross, Are you kidding?!
71,Joey," Yeah, three days on the lake without a shower. Plus! I fell in that big
tub of worms at the bait stand! Hey, how-how’s he doing?"
72,Ross, He hasn’t gotten out of that chair in two days.
73,Joey, (goes over to Chandler) Hey buddy! How’s it going?
75,Joey," (To the rest of the gang) Hey, see that? He just needed his pal to come
home. All right, uh, I’ve got to go memorise my lines. (Starts to go his bedroom) Me
and Charlton Heston bright and early tomorrow morning! Yeah-yeah!"
76,Rachel, (entering) Hey!
77,Ross, Hey!
78,Rachel," Hey, Monica!"
79,Monica," Uh-oh, what’s the matter?"
80,Rachel," Ohh, it’s Joshua invited me to this fancy club opening tonight.
But, I already told Mr. Waltham that I would take his niece to this dumb old opera.
So… What are you gonna do?"
81,Monica, I don’t know sweetie.
82,Rachel, No! Help me!
83,Monica, I can’t! I have to work!
84,Rachel, Phoebe?
85,Phoebe," I would, but I get my morning sickness in the evening. "
86,Rachel, Ugh!
87,Phoebe, Unless! She wants to spend the night holding my hair back for me.
88,Rachel," Ohh, gosh. You guys, come on, this is—I have to meet Joshua! This
is my one chance for him to see the fun Rachel. Y’know the ""Wouldn’t it be
great if she was my wife"" Rachel. Ohh, all right! Are Joey and Chandler back?"
89,Monica," No, Chandler’s still in Phase One, and Joey’s that thing you
smell."
90,Rachel, Ohh! (Realises that Ross is in the room.) Hi!
91,Ross, Hi!
92,Rachel, So….
93,Ross, No.
94,Rachel," Ohhhh, come on!!!"
96,Monica, I think she’s here.
97,Rachel," No! Wait! Wait-wait! Ross, please!"
98,Ross," You want me to take some girl I’ve never met to the opera so you can
go to a club and flirt with some guy, hmm, that-that is a toughie."
99,Monica," (looking out the peephole) Ohh, she’s looking down the hall. Oh!
She looked right at me! Oh wait, you can’t see people through that little hole, can
you? (Goes back to the door.) Hello!"
101,Rachel," I’ll be right there! (to Ross) Okay, Ross, please come on! I
thought we have moved on! I thought we’ve gotten to a place where we could be happy
for each other! I mean was that just me?"
102,Ross," All right, I’ll do it."
103,Rachel," Oh thank you! Thank you, thank you, thank you! (Monica opens the door.)
Emily?"
105,Rachel, I’m Rachel Green.
107,Rachel," There’s been a teeny-teeny change in plans. It turns out that
I’m not free tonight. So…"
109,Rachel," Oh well, no I…"
111,Monica, I-I-I think you look great.
114,Rachel, I’ll get her.
115,Ross, Please hurry.
116,Phoebe, Don’t you just love the way they talk?!
118,Phoebe, Ohh!
119,Monica, What?
120,Phoebe, It kicked! I think the baby kicked!
121,Monica, Oh my God!
122,Phoebe," Oh no wait, oh no, the elastic on my underwear busted."
123,Joey," (running from his bedroom) Oh my God! I overslept! I was supposed to be on
the set a half an hour ago! I gotta get out of here!"
124,Monica," Oh wait, Joey, you can’t go like that! You stink!"
125,Joey," Look, I know I feel asleep before I could shower and now I don’t have
time! They’re just ten blocks away, if I run, I can make it."
126,Monica," Yeah. Run ten blocks, that’ll help the smell."
128,Rachel," Hey—whoa, slow down. (Gets a whiff of him) No, keep moving. (Joey
runs off.) Wow!"
129,Monica, So? How did it go with Joshua last night?
130,Rachel," Well, I didn’t see Joshua last night, but I did punch a girl
in the face."
131,Monica, What?
132,Phoebe, Why?
133,Rachel," The whole night was horrible, it was pouring down rain, and when I got
there, there was no Rachel Green on the list, but there was a Rachel Greep."
134,Phoebe," Ohh! So, did you get to meet her?"
135,Rachel," No, there is no Rachel Greep, but then this other girl overheard us and
she was all, ""I’m Rachel Greep! I’m Rachel Greep!"" and he let her
right in. "
136,Monica, So you hit her in the face?
137,Rachel," No, she was already in, but then this big bitch behind me tried to steal
my umbrella, so I clocked her. Ohhh! I can’t believe this, all I wanted was a few
hours outside of work to see Joshua, so he can go ahead and start falling in love with me."
138,Phoebe," (going over to comfort her) Aww, Pheebs."
139,Rachel," Honey, that’s you’re name."
140,Phoebe," That’s short for Phoebe?! I thought that was just what we called
each other!"
142,Monica, Hey! You’re wearing pants!
143,Chandler," That’s right! Where are the guys? I’m ready to get drunk and
see some strippers."
144,Monica, It’s 930 in the morning!
145,Chandler, They got a breakfast buffet.
147,Monica," Hello. (Listens) Oh, hey Ross!"
148,Chandler," Ooh, let me talk to him!"
149,Monica," Oh-oh, my God!"
150,Chandler," Well, can I just…"
151,Monica," (to Chandler) Shh!! (On phone) Wait, what?"
152,Chandler, She’s shhing me! It’s my phone and she’s shhing me!
153,Phoebe, Shhh!! Please! What’s he saying?
154,Monica, He’s with Emily at a Bed and Breakfast in Vermont!
155,Phoebe, What? Oh my God!
156,Rachel, What? Who the hell is Emily—(realises) noooo!!
159,Rachel," They’re in Vermont!! How could this happen?! (She waves her arms
franticly and hits Chandler.)"
160,Chandler, Ow!
161,Rachel," How—how did end up in Vermont with that awful witch?! (She hits
Chandler again.)"
162,Chandler," Maybe, she doesn’t hit him all the time. "
164,Ross," When we first met her, she was soaking, her feet were wet! Who
wouldn’t be miserable? I’m telling you when I got her into a dry pair of shoes,
she was a totally different person."
166,Ross," I’ve gotta go, there’s a deer just outside eating fruit from the
orchard! (He hangs up and runs out.)"
168,Monica," He had to go, there’s a deer just outside eating fruit from the
orchard."
169,Rachel," I don’t get this! She was horrible! (She hits Chandler, yet again.)"
170,Chandler," Okay, I’m going to go stand over there. (Points and moves into
the living room.)"
171,Monica, Why do you care so much anyway?
172,Rachel," I don’t care! All right, y’know what I’m just upset that
I’m getting nowhere with Joshua that—y’know what still, you do not meet
someone and go flitting off to Vermont!"
173,Monica," Well, when you first met Barry, you flitted off to Vail."
174,Rachel," Oh, y’know, would you just for once, not remember
every…little…thing!! (Storms out.)"
175,Chandler," So y’know, uh, when’s he getting back?"
176,Monica, A couple of days.
177,Chandler," Y’know, I knew something like this was going to happen. (He
starts to take off his pants, revealing that he is still wearing his sweat pants.)"
178,Monica, What are you doing?! Chandler! You can’t just go back a phase!
179,Chandler," Yes you can. You’re thinking about time, you can’t go back
in time."
180,Phoebe," Well, look, why don’t you just, why don’t you do your Phase
Two strip club thing with us."
181,Monica," Yeah, come on, we can be guys!"
182,Chandler, (laughs) No you can’t.
183,Phoebe, Come on! Let us be guys! Maybe we want to be guys!
184,Chandler," You don’t want to be guys, you’d be all hairy and
wouldn’t live as long. (Starts to go to his bedroom)"
185,Phoebe," Y’know you, you just stop being such a wuss and get those off and
you come with us and watch naked girls dance around!!"
186,Chandler, Okay. (Starts to cry)
187,Phoebe, I’m sorry. (Goes and hugs him)
189,Joey, (rushing in) Hey! Joey Tribbiani! I’m here! I’m here! 
192,Joey," Look at that, Charlton Heston eating a liquorice whip!"
194,Joey," (trying to act like he’s not the one that stinks.) Whoa! Yeah, what
the hell is that? What smells so bad?"
196,Joey," Y’know, I can see why you think that, but ah, actually, you know who
I think it is?"
198,Joey," No-no, it’s uh, it’s Heston."
200,Joey," Yeah, the man wreaks! Smells like he went on a three day fishing trip and
then ate some liquorice. "
202,Joey," Really, a shower huh? And uh, which-which room might that be?"
204,Joey, Interesting.
206,Monica," (coming back to the stage and sitting next to Chandler) Okay, I’ve
got some Ones, you wanna put them in her panties?"
207,Chandler," No thanks, Mom!"
209,Phoebe," Oh, no umm, hi, that-that, you have to put that out, ‘cause
I’m pregnant."
211,Phoebe," Ha-ha, it’s not my baby, ha-ha-ha! (He leaves.)"
213,Monica," Very good, (getting up and sliding a One into the dancer’s hot
pants) so good."
214,Phoebe," (doing the same) I really, really enjoyed it. Very exotic."
215,Rachel," (joining them) Well, I just checked our messages and Joshua didn’t
call. I mean you’d think he’d be worried about me not showing up at his club.
Ugh, you know what makes it so much worse, Ross is all happy in Vermont!"
216,Phoebe, Come on! Look where you are!!
217,Monica," (to the waitress) When you get a sec, another round of daiquiris."
218,Phoebe," Remember, a virgin for me please."
219,Monica," Oh! And don’t let me leave without getting the name of that carpet
guy."
220,Chandler," Ahh, come on! Y’know what—y’know what, I think I’m
just gonna go home and call Kathy."
221,Phoebe," Well, if you think it will help."
222,Chandler," No! That was a test! In a couple of hours I’m gonna get really
drunk and wanna call Kathy and you guys are gonna have to stop me! And then after that,
I’m gonna get so drunk, I’m gonna wanna call Janice"
223,Phoebe, You should! How is she?
224,Chandler, Ohhh!!
225,Monica, I think somebody needs another lap dance. (Motions for one.)
228,Joey, How ya doin’?
230,Joey," I guess you wouldn’t believe me if I said I was Kurt Douglas, huh?"
232,Joey," No-no-no, no, no, wait. You see, I’m an actor, Joey Tribbiani,
I’m doing a scene with you today, and well, I stink."
234,Joey," Yeah-yeah, I’m one of the cops that won’t work with you
‘cause you a lose cannon. Anyway, look, I’m really sorry, but I stink!"
236,Joey, Yeah.
238,Joey," Oh no-no-no, you don’t understand…"
240,Joey," Oh yeah, yeah."
242,Joey," Yes sir! Yes sir, I’m-I’m—(he starts to leave)"
244,Joey," Yeah. Oh, yeah."
246,Monica," So, we did okay at the strip club, right?"
247,Chandler," Oh yeah, that was great. Thanks to you, the hottest cocktail waitress
there is quitting to teach the third grade!"
248,Rachel, (entering) I can’t believe it! He still hasn’t called.
249,Phoebe," Who, Josh?"
250,Rachel, It’s Joshua.
251,Monica," What, he doesn’t like Josh?"
252,Rachel," No, I don’t."
253,Chandler," All right, well I’m gonna put my sweats back on."
254,Phoebe," Oh no! Wait! Wait! Okay, y’know what, you were right, you were
right. We really weren’t great at being guys, but you know why? Because we’re
girls."
255,Chandler, Yeah?
256,Phoebe, And do you know what girls are really good at?
257,Chandler, Stripping!
258,Phoebe," No, listening! Sit! Y’know, maybe it would just really, really help
if you would just talk."
259,Rachel," Yeah, come on! What’s going in on in there? (Pats his chest.)"
260,Monica," Yeah. And y’know, if you wanna cry, that’s okay too."
261,Chandler," Okay, look, I’m gonna have to ask you all to leave."
262,Monica, Come on! Chandler!
263,Chandler," Look, forget it. We tried, but Phase Three is a lost cause, Okay?
Those strippers were insanely hot, and I couldn’t picture myself with any of them.
(Sits back in disgust.)"
264,Monica," They really were pretty, weren’t they? (Rachel and Phoebe both
agree)"
265,Phoebe," Yeah, I really liked that fighter pilot one."
266,Monica," Oh, Candy! She was so spunky! "
267,Phoebe, Yeah.
268,Monica," Y’know, I think if I were going to be with a woman. (Chandler is
intrigued.) It’d, it’d be with someone like Michelle, she was so oh, she was so
petite."
269,Rachel," See, I don’t know, for me it would have to Chantal."
270,Monica," Oh, Chantal!"
271,Rachel," Oh my goodness, she had the smoothest skin! I mean when I stuck that
dollar bill in her g-string and grazed her thigh…"
272,Chandler, (jumping up) Phase Three! I just achieved Phase Three!
273,Monica, Really?!
274,Chandler, I am totally picturing you with all those women!
275,Monica, That’s-that’s not Phase Three.
276,Chandler," Well, I’m there too!"
277,Rachel," Well, are we all together? Like in a group?"
278,Chandler," Stop it! You’re killing me! I think I just moved on to Phase
Four!"
279,Phoebe, Oh! What is that? What is that?
280,Chandler," Where I don’t want to have a relationship ever! I just want to
have sex with strippers and my friends!!"
282,Chandler," Come on, let me see that smile."
283,Joey, I don’t wanna.
284,Chandler, Please?
285,Joey, I wanted to go to the strip club!
286,Chandler," I know, I know, but you’re gonna have plenty of chances. There
are literally thousands of women out there just waiting to screw me over."
287,Joey," Yeah, all right. (Ross enters.)"
288,Monica, Hey!
289,Ross, Hey!
290,Phoebe," Hey—ooh so, how was Vermont?"
291,Ross," Emily is…incredible. I mean there-there are no words to describe it,
I mean the whole weekend was like a dream. (Sees Rachel coming back from the bathroom.)
Oh! And you! Rach!"
292,Rachel," Oh, hey!"
293,Ross, Hey! You were so right!
294,Rachel, What?
295,Ross," Uh, what you said, about us being in a place where we could finally be
happy for each other. "
296,Rachel," Oh, hmm."
297,Ross," I mean, I, I-I admit I-I wasn’t quite there. Y’know, I mean the
thought of you and that-that Josh guy…"
298,Rachel, Joshua.
299,Ross," Joshua…guy at that club, dancing and having a good time, the thought
of it kinda…y’know."
300,Rachel," Yeah, I…"
301,Ross," But now! I’m there! I’m totally there! I’m-I’m finally
where you are!"
302,Rachel," Oh, thank goodness!"
303,Ross," Yeah, and-and thank you for Emily."
304,Rachel," Oh, no problem. I’m so glad I could help. Happy for you. (She
playfully punches him.)"
305,Ross, Happy for you. (He punches her back.)
306,Rachel," No, happy for you! (Hits him harder.)"
309,Chandler," All right ladies, here’s what we’re gonna do. (Points to a
stripper.) You are gonna take off my clothes. (To another two strippers) You two,
go get the oils. (To another stripper) And you just constantly scream at the top of your
voice, ""Chandler’s the king! Chandler’s the king!"""
310,Phoebe," I-I wanna be with her, (points to the stripper next to her) I like her."
311,Chandler," Oh, that’s fine! Go with your instincts, go with your instincts."
312,Monica," Wait, now, what am I doing again?"
313,Chandler," Come on! Would you please pay attention, I could wake up at any
moment!"
315,Rachel," No-no-no, that’ not Joshua."
316,Chandler," What do you want from me, I’ve never met the guy. So anyway,
Rachel, I’m sorry you can’t stay, (Rachel is upset about leaving the orgy with
the cigarette guy.) but the rest of us have a lot of work to do. (The cigarette guy
starts rubbing Chandler’s back.) What are you doing? (The guy just nods) All right,
listen, I’ve got to wake up!"
0,Chandler," Y'know, I can't believe I'm getting my nails done!  And you
said it was gonna be fun! (pause) Which it kinda is.  Also, you said there would be
other guys here. There are no other guys here!"
1,Rachel," Chandler, there’s a guy right over there. (Points to the counter)"
2,Chandler," That’s a mailman! That’s our mailman! (Waves to the
mailman) (Sarcastic) Hi. How are ya?"
3,Rachel," Chandler, don’t worry! This doesn’t make you any less of a
guy! (Chandler starts blowing on his fingernails like women do.) That does!
(Chandler stops blowing.) What am I sitting on? (She looks and finds a huge nail.) I hate
to think what this woman was scratching when this broke off."
4,Chandler," Hey, you know who used to have nails like that?"
5,Rachel, Hmm.
9,Monica, Joey let me ask you a question. What does this light switch do?
10,Joey," Ohh, Nothing."
11,Monica," Didn’t it drive you crazy to have a switch and not know what it
did?"
12,Joey, I know what it did! Nothing.
13,Monica," They wouldn’t have put it there if it didn’t do something! How
can you not care?"
14,Joey, Like this. (Shrugs)
15,Rachel," Well, here’s another question for ya. Uhh, do you know what that
silver knob on the toilet does?"
16,Joey, Sure! It flushes it.
17,Rachel," Okay, good. Now that since you know, when you come over would you mind
actually using it?"
18,Chandler," (entering, with Janice in tow) Hello!"
19,Joey, Hey! (Sees Janice.) Ah!! (Janice screams in surprise.)
20,Rachel, Guess who we ran into today?!
21,Monica, Janice?!
22,Chandler, Isn’t this amazing? 
23,Monica, How have you been?
25,Phoebe," Ohhh, wow."
27,Joey, And there it is.
29,Chandler, Okay. Bye.
31,Chandler, Bye.
33,Chandler, Bye.
35,Chandler, B-bye!
37,Chandler," Bye. (Finally closes the door on her.) (After it’s closed) I
can’t stand the woman! (Phoebe is shocked, Joey is relieved.)"
38,Phoebe, What?! I thought you were crazy about her!
39,Chandler," Yeah, I know, but all of those little annoying things she did before
we fell in love? Like her voice, her laugh, her personality—Well, they’re all
back! Y’know? And she’s picked up like nine new ones!"
40,Joey, So what are you doing bringing her here?! There’s people here!
41,Chandler," Don’t worry about it. I’m taking care of it tonight.
(Chandler opens the fridge and grabs something to drink.)"
42,Rachel, You are not. You have never been able to break up with her.
43,Chandler," (standing in the door of the fridge) Well, I don’t have to break
up with her this time. We’re not involved! I’m going to do a pre-emptive strike!
I’m going to end it with her before it starts. My ass is like frozen! (Closes the
fridge.) "
44,Joey," Yeah, try sticking it in the freezer for 20 minutes. (They all look around
and then back at Joey.) I’m tellin’ ya!"
47,Ross," No, it’s really not that bad. I mean, I-I for one, feel perfectly
safe."
49,Ross, Help! Help!! Help! Help!!
53,Ross," Oh hey, that was a good one, huh? (Imitating himself) Help! Help!"
59,Ross," Oh, Liam. So uh, what, were you guys playing soccer or something—or
should I call it (In an English accent) football?"
63,Ross," What’s ah, what’s so funny about that?"
65,Ross," Well, we didn’t have freedom here until 1776, either so…"
68,Ross, Cheers!
72,Chandler," Yes, I-I know that you do, but I think one of the reasons people were
complaining though, was that they paid to hear the actor sing Old Man River."
74,Chandler," (laughs) Okay, we have to talk. I’m just getting out of a very
serious relationship…"
76,Chandler, Right! I just think that this is happening too soon.
78,Chandler," I hear ya. (Pause) But! Unfortunately, my company is transferring me
overseas!"
80,Chandler," No! No! Not, Paris. "
82,Chandler," Okay, could you just stop talking for a second? (Thinks) Yemen.
That’s right, yes, I’m being transferred to Yemen!"
84,Chandler, I don’t know exactly.
86,Chandler, But I do know that it’s some time tomorrow.
88,Monica, Done?
89,Phoebe, Yep!
90,Rachel," (entering, with Joey) Hey!"
91,Joey, Hey! What’s up?
92,Monica," This switch thing has been driving me crazy. So I turned it off and
checked every outlet. Now, four of them don’t work. Which means, one of them
has to be controlled by the switch. So, I plugged in things in all four of the outlets
that-that make noise, so that way, when I turn it on I just follow the noise and find out
which one it is."
93,Joey, (to Rachel) I bet I stopped listening before you did.
94,Rachel," Y’know, you-you also could’ve used uh, lamps and then
followed the light."
95,Monica," Yeah, well, I’m using noise. Okay. All right! So, is everybody
ready? Here we go. (She flips on the switch and a hum starts.) I hear something! I hear
something! Where is it? (They all start looking until Rachel realises it’s Joey.)"
96,Rachel, It’s coming from Joey!
97,Phoebe," Oh my God, that’s so freaky! Turn him off!!"
99,Phoebe," Ooh, hey, could we put on the news? I think it might be raining."
100,Ross," Oh, just hold on a second. I’m watching this rugby thing on ESPN.
I don’t know what the big deal is. I’m man enough to play this sport."
101,Joey," Dude, you’re not even man enough to order the channel that
carries the sport."
103,Ross, (shocked) Hey!
104,Phoebe, (whispering to Ross) Janice.
105,Chandler," Y’know uh, you didn’t really have to help me pack."
107,Chandler," Well, I-I thought I did but, I-I guess I did not!"
108,Joey," Hey-hey, what’s going on?"
109,Chandler," Oh, I’m packing. Y’know I’m-I’m packing
‘cause I’m moving to Yemen tomorrow."
110,Joey, Thanks for telling me!
112,Chandler," I’m only going to pretend I’m moving to Yemen, it’s the
only way I can get rid off her."
113,Joey," Ohhhh, good one! And Yemen that actually sounds like a real country."
115,Phoebe," Yeah, I know, I do that ‘cause it makes me look taller."
117,Chandler," (to Janice) Okay. (to Joey) Joey, trade lives with me!"
118,Joey," Nope. (To Ross) Man look at this! Ross, I can’t believe you said
you’d play rugby. I mean look how brutal this is!"
119,Ross," Hey, I can handle it! All right?"
120,Rachel," Please, Ross, you-you got hurt playing badminton with my dad."
121,Ross," That’s ‘cause-‘cause you’re mom’s dog kept-kept
looking at me."
122,Joey," (pointing to the TV) Okay, Ross, look-look-look-look, look right here.
That’s called a scrum, okay? It’s kinda like a huddle."
123,Ross," And is a hum, kinda like a scruddle?"
124,Joey, Ross! (Laughs) They’re gonna kill you!
125,Phoebe," Well, why are you doing this anyway?"
